ID,Name,Begin date,End date,Duration,Completion,Coordinator,Predecessors,Outline number,Web Link,Resources,Notes
1,Draft Proposal,9/30/15,2010-02-15,3,100,,,1,,,
28,  Schedule,9/30/15,9/30/15,1,100,,,1.1,,,
30,  Background,2010-02-15,2010-02-15,1,100,,,1.2,,,
5,Proposal,2010-05-15,2010-09-15,4,100,,1,2,,,
46,Identify Customer Requirements,9/28/15,2010-02-15,5,90,,,3,,,
47,Physical - Mechanical Design,2010-05-15,2012-03-15,43,56,,46,4,,,
88,  Linear motion,2010-05-15,2011-06-15,24,70,,,4.1,,,
100,    Identify possible options,2010-05-15,2010-06-15,2,100,,,4.1.1,,,
103,    Design,2010-07-15,10/14/15,5,100,,46;100,4.1.2,,,
102,    Procure components,10/15/15,10/28/15,10,100,,103,4.1.3,,,
105,    Test,10/29/15,2011-04-15,5,0,,102,4.1.4,,,
118,    Document,2011-05-15,2011-06-15,2,0,,105,4.1.5,,,
89,  Rotational motion,2010-05-15,11/13/15,29,0,,,4.2,,,
107,    Identify possible options,2010-05-15,2010-07-15,3,0,,,4.2.1,,,
109,    Design,2010-09-15,10/19/15,7,0,,46;107,4.2.2,,,
112,    Procure components,10/20/15,2011-02-15,10,0,,109,4.2.3,,,
114,    Test,2011-03-15,2011-11-15,7,0,,112,4.2.4,,,
116,    Document,2011-12-15,11/13/15,2,0,,114,4.2.5,,,
90,  Position determination,2010-09-15,11/20/15,31,70,,,4.3,,,
111,    Identify possible options,2010-09-15,10/15/15,5,100,,,4.3.1,,,
138,    Design,10/16/15,10/26/15,7,100,,46;111,4.3.2,,,
140,    Procure components,10/27/15,2011-09-15,10,100,,138,4.3.3,,,
142,    Test,2011-10-15,11/18/15,7,0,,140,4.3.4,,,
144,    Document,11/19/15,11/20/15,2,0,,142,4.3.5,,,
158,  Frame / Mounting,2010-06-15,2012-02-15,41,81,,,4.4,,,
159,    Identify possible options,2010-06-15,2010-07-15,2,100,,,4.4.1,,,
160,    Design,10/27/15,2011-02-15,5,75,,103;109;138;159,4.4.2,,,
161,    Procure components,2011-03-15,11/30/15,20,90,,160,4.4.3,,,
162,    Test,2012-01-15,2012-01-15,1,0,,161,4.4.4,,,
163,    Document,2012-02-15,2012-02-15,1,0,,162,4.4.5,,,
146,  Implement Mechanical Design,2012-03-15,2012-03-15,1,10,,105;114;142;163,4.5,,,
53,Electronic / Interface design,2010-06-15,12/23/15,56,78,,46,5,,,
157,  Processor,2010-06-15,2011-02-15,19,84,,,5.1,,,
176,    Identify possible options,2010-06-15,2010-09-15,3,100,,,5.1.1,,,
199,    Choose,2010-12-15,2010-12-15,1,100,,176,5.1.2,,,
178,    Procure component,10/13/15,10/26/15,10,100,,199,5.1.3,,,
180,    Test,10/27/15,10/28/15,2,100,,178,5.1.4,,,
182,    Document,10/29/15,2011-02-15,3,0,,180,5.1.5,,,
184,  Solar Sensor,2010-06-15,2011-11-15,26,93,,,5.2,,,
185,    Identify possible options,2010-06-15,10/13/15,5,100,,,5.2.1,,,
206,    Choose,10/14/15,10/15/15,2,100,,185,5.2.2,,,
186,    Procure component,10/16/15,2011-05-15,15,100,,206,5.2.3,,,
187,    Test,2011-06-15,2011-09-15,2,100,,186,5.2.4,,,
188,    Document,2011-10-15,2011-11-15,2,10,,187,5.2.5,,,
213,  Electronic Connections / Interfacing,2011-10-15,12/23/15,32,64,,,5.3,,,
215,    Identify possible options,2011-10-15,2011-11-15,2,100,,102;112;140;178;186,5.3.1,,,
217,    Design,2011-12-15,11/20/15,7,100,,215,5.3.2,,,
219,    Procure parts / Assemble,11/23/15,2012-04-15,10,90,,217,5.3.3,,,
221,    Test,2012-07-15,2012-11-15,5,50,,219,5.3.4,,,
223,    Document,12/14/15,12/14/15,1,0,,221,5.3.5,,,
229,    Implement,12/15/15,12/23/15,7,0,,223,5.3.6,,,
72,Software Design,12/24/15,2/16/16,37,8,,46,6,,,
73,  Identify Design options,12/24/15,12/31/15,5,50,,229,6.1,,,
74,  Design,2001-04-16,1/15/16,10,5,,73,6.2,,,
75,  Test,1/18/16,2002-05-16,15,0,,74,6.3,,,
76,  Document,2002-08-16,2/16/16,7,0,,75,6.4,,,
84,Software Implementation / Mechanical - Electrical changes,2/17/16,2003-01-16,10,0,,76,7,,,
9,Fall Progress Report,11/26/15,2012-09-15,10,0,,,8,,,
13,Draft Final Report,2002-12-16,3/14/16,22,0,,,9,,,
15,Final Report,3/28/16,2004-08-16,10,0,,13,10,,,
21,Poster Fair,2/23/16,3/18/16,19,0,,,11,,,
